,Title,Major Genre,Running Time min,Year,US_Revenue,IMDB Rating,MPAA Rating
384,Eragon,Adventure,102.0,2006,75.030163,5.0,PG
385,Erin Brockovich,Drama,133.0,2000,125.548685,7.2,R
386,Elizabethtown,Drama,133.0,2005,26.850426,6.4,PG-13
387,Eat Pray Love,Drama,143.0,2010,78.146373,4.7,R
388,Eternal Sunshine of the Spotless Mind,Comedy,108.0,2004,34.366518,8.5,R
389,Eve's Bayou,Drama,109.0,1997,14.843425,7.0,R
390,Event Horizon,Horror,95.0,1997,26.673242,6.3,R
391,Evita,Musical,134.0,1996,50.047179,6.1,PG
392,Evolution,Comedy,102.0,2001,38.311134,5.9,PG-13
393,Fong juk,Action,100.0,2007,0.051957,7.3,Not Rated
394,Exit Wounds,Action,100.0,2001,51.758599,5.2,R
395,The Exorcism of Emily Rose,Thriller/Suspense,114.0,2005,75.072454,6.8,PG-13
396,Exorcist: The Beginning,Horror,114.0,2004,41.814863,5.0,R
397,The Express,Drama,129.0,2008,9.793406,7.1,PG
398,Eyes Wide Shut,Drama,159.0,1999,55.691208,7.2,R
399,The Faculty,Horror,102.0,1998,40.283321,6.3,R
400,Keeping the Faith,Romantic Comedy,129.0,2000,37.036404,6.5,PG-13
401,The Family Stone,Comedy,103.0,2005,60.062868,6.3,PG-13
402,Father's Day,Comedy,98.0,1997,28.68108,4.8,PG-13
403,Face/Off,Action,138.0,1997,112.276146,7.3,R
404,Final Destination 2,Horror,90.0,2003,46.896664,6.4,R
405,The Fifth Element,Action,105.0,1997,63.570862,7.4,PG-13
406,Bring it On,Comedy,99.0,2000,68.35355,5.9,PG-13
407,Fantastic Four,Action,123.0,2005,154.69608,5.7,PG-13
408,54,Drama,92.0,1998,16.757163,5.6,R
409,2 Fast 2 Furious,Action,107.0,2003,127.120058,5.1,PG-13
410,The Fast and the Furious,Action,107.0,2001,144.51231,6.0,PG-13
411,Fahrenheit 9/11,Documentary,122.0,2004,119.114517,7.6,R
412,From Hell,Thriller/Suspense,123.0,2001,31.598308,6.8,R
413,Fido,Horror,93.0,2007,0.29811,6.9,R
414,Fight Club,Drama,139.0,1999,37.030102,8.8,R
415,Final Fantasy: The Spirits Within,Adventure,120.0,2001,32.13183,6.4,PG-13
416,Finding Forrester,Drama,137.0,2000,51.768623,7.2,PG-13
417,Final Destination,Horror,98.0,2000,53.302314,6.8,R
418,Flicka,Drama,94.0,2006,21.000147,5.7,PG
419,Flubber,Comedy,93.0,1997,92.993801,4.6,PG
420,Flushed Away,Comedy,85.0,2006,64.665672,7.0,PG
421,Flyboys,Drama,139.0,2006,13.09063,6.5,PG-13
422,Fly Me To the Moon,Adventure,89.0,2008,14.543943,4.7,G
423,The Family Man,Comedy,126.0,2000,75.764085,6.6,PG-13
424,Finding Nemo,Adventure,100.0,2003,339.714978,8.2,G
425,The Fountain,Drama,96.0,2006,10.14401,7.4,PG-13
426,Flightplan,Thriller/Suspense,93.0,2005,89.706988,6.2,PG-13
427,The Forbidden Kingdom,Action,105.0,2008,52.07527,6.7,PG-13
428,Freedom Writers,Drama,122.0,2007,36.605602,7.5,PG-13
429,Next Friday,Comedy,98.0,2000,57.176582,5.3,R
430,Freaky Friday,Comedy,97.0,2003,110.222438,6.5,PG
431,Frequency,Drama,118.0,2000,44.983704,7.3,PG-13
432,Serenity,Action,119.0,2005,25.514517,8.0,PG-13
433,The Forgotton,Thriller/Suspense,91.0,2004,66.711892,4.9,PG-13
434,Friday After Next,Comedy,85.0,2002,33.253609,5.3,R
435,Frida,Drama,123.0,2002,25.885,7.3,R
436,Friday Night Lights,Drama,117.0,2004,61.255921,7.2,PG-13
437,Fireproof,Drama,122.0,2008,33.451479,5.6,PG
438,Frost/Nixon,Drama,122.0,2008,18.622031,7.9,R
439,Factory Girl,Drama,90.0,2006,1.661464,6.1,R
440,The Full Monty,Comedy,90.0,1997,45.950122,7.2,R
441,Fun With Dick And Jane,Comedy,90.0,2005,110.55,6.3,PG-13
442,For Your Consideration,Comedy,86.0,2006,5.549923,6.2,PG-13
443,The Game,Thriller/Suspense,128.0,1997,48.265581,7.7,R
444,Gangs of New York,Drama,168.0,2002,77.7305,7.4,R
445,Garfield,Comedy,80.0,2004,75.367693,4.8,PG
446,Georgia Rule,Drama,111.0,2007,18.88288,5.8,R
447,Good Boy!,Comedy,87.0,2003,37.667746,5.0,PG
448,The Good German,Drama,104.0,2006,1.308696,6.1,R
449,The Good Night,Romantic Comedy,93.0,2007,0.022441,6.0,R
450,Gridiron Gang,Drama,126.0,2006,38.432823,6.8,PG-13
451,Ghost Ship,Horror,91.0,2002,30.113491,5.3,R
452,Ghost Rider,Action,110.0,2007,115.802596,5.2,PG-13
453,Ghost Town,Romantic Comedy,102.0,2008,13.252641,4.7,PG-13
454,G.I.Jane,Drama,124.0,1997,48.169156,5.5,R
455,G.I. Joe: The Rise of Cobra,Action,118.0,2009,150.201498,5.8,PG-13
456,Gladiator,Action,150.0,2000,187.683805,8.3,R
457,Good Luck Chuck,Romantic Comedy,96.0,2007,35.017297,5.6,R
458,The Green Mile,Drama,187.0,1999,136.801374,8.4,R
459,The General's Daughter,Drama,116.0,1999,102.705852,6.1,R
460,Goal!,Drama,121.0,2006,4.283255,6.9,PG
461,Godzilla,Action,139.0,1998,136.314294,4.8,PG-13
462,Good Will Hunting,Drama,126.0,1987,138.433435,8.1,R
463,Gosford Park,Comedy,137.0,2001,41.300105,7.3,R
464,The Game Plan,Comedy,110.0,2007,90.648202,6.3,PG
465,Galaxy Quest,Comedy,104.0,1999,71.423726,7.2,PG
466,Gracie,Drama,98.0,2007,2.956339,6.2,PG-13
467,Garden State,Drama,109.0,2004,26.782316,7.9,R
468,George Of The Jungle,Comedy,91.0,1997,105.263257,5.3,PG
469,How the Grinch Stole Christmas,Comedy,104.0,2000,260.044825,5.7,PG
470,Grindhouse,Horror,191.0,2007,25.031037,7.9,R
471,Wallace & Gromit: The Curse of the Were-Rabbit,Adventure,85.0,2005,56.068547,7.9,G
472,Grosse Point Blank,Black Comedy,106.0,1997,28.084357,7.4,R
473,The Grudge 2,Horror,102.0,2006,39.143839,4.6,PG-13
474,The Grudge,Horror,96.0,2004,110.359362,5.7,PG-13
475,Grown Ups,Comedy,102.0,2010,161.094625,5.8,PG-13
476,Guess Who,Comedy,103.0,2005,68.915888,5.7,PG-13
477,Halloween 2,Horror,105.0,2009,33.392973,4.5,R
478,Hairspray,Musical,117.0,2007,118.823091,7.2,PG
479,Half Baked,Comedy,84.0,1998,17.394881,6.3,R
480,The Happening,Thriller/Suspense,89.0,2008,64.506874,5.2,R
481,Harsh Times,Drama,120.0,2006,3.337931,7.0,R
482,The House Bunny,Comedy,98.0,2008,48.237389,5.5,PG-13
483,Hidalgo,Western,136.0,2004,67.286731,6.6,PG-13
484,Hide and Seek,Thriller/Suspense,105.0,2005,51.100486,5.6,R
485,Hoodwinked,Comedy,80.0,2005,51.386611,6.7,PG
486,Head of State,Comedy,95.0,2003,37.788228,5.1,PG-13
487,He Got Game,Drama,134.0,1998,21.567853,6.8,R
488,Heist,Action,109.0,2001,23.483357,3.2,R
489,Hellboy,Action,122.0,2004,59.623958,6.8,PG-13
490,Raising Helen,Comedy,119.0,2004,37.485528,5.7,PG-13
491,The Haunting,Horror,114.0,1999,91.188905,4.6,PG-13
492,High Crimes,Thriller/Suspense,115.0,2002,41.543207,6.1,PG-13
493,High Fidelity,Comedy,114.0,2000,27.277055,7.6,R
494,Hitch,Romantic Comedy,113.0,2005,177.784257,5.7,PG-13
495,Hitman,Action,93.0,2007,39.687694,6.8,R
496,The Hills Have Eyes II,Horror,88.0,2007,20.804166,5.0,R
497,How to Lose Friends & Alienate People,Comedy,109.0,2008,2.775593,6.7,R
498,Halloween: Resurrection,Horror,89.0,2002,30.259652,3.9,R
499,Home on the Range,Comedy,94.0,2004,50.026353,5.4,PG
500,Hannibal Rising,Thriller/Suspense,121.0,2007,27.669725,6.0,R
501,The Hangover,Comedy,99.0,2009,277.322503,7.9,R
502,Hanging Up,Comedy,95.0,2000,36.037909,4.3,PG-13
503,Holes,Drama,117.0,2003,67.383924,7.1,PG
504,The Holiday,Romantic Comedy,131.0,2006,63.28,6.9,PG-13
505,Hollow Man,Horror,112.0,2000,73.20934,5.5,R
506,Honey,Drama,94.0,2003,30.272254,4.6,PG-13
507,Hope Floats,Drama,114.0,1998,60.110313,5.3,PG-13
508,Hot Rod,Comedy,83.0,2007,13.938332,6.5,PG-13
509,The Hours,Drama,115.0,2002,41.675994,7.6,PG-13
510,Bringing Down the House,Comedy,105.0,2003,132.675402,5.4,PG-13
511,How High,Comedy,93.0,2001,31.155435,5.5,R
512,Harry Potter and the Chamber of Secrets,Adventure,161.0,2002,261.98788,7.2,PG
513,Harry Potter and the Prisoner of Azkaban,Adventure,141.0,2004,249.538952,7.7,PG
514,Harry Potter and the Goblet of Fire,Adventure,157.0,2005,290.013036,7.6,PG-13
515,Harry Potter and the Order of the Phoenix,Adventure,138.0,2007,292.004738,7.4,PG-13
516,Harry Potter and the Half-Blood Prince,Adventure,153.0,2009,301.959197,7.3,PG
517,Harry Potter and the Sorcerer's Stone,Adventure,152.0,2001,317.557891,7.2,PG
518,Happy Feet,Adventure,108.0,2006,198.000317,6.7,PG
519,Hercules,Adventure,92.0,1997,99.112101,6.8,G
520,Hardball,Drama,106.0,2001,40.222729,4.1,PG-13
521,Hard Rain,Action,96.0,1998,19.870567,5.6,R
522,The Horse Whisperer,Drama,168.0,1998,75.383563,6.3,PG-13
523,The Hitchhiker's Guide to the Galaxy,Comedy,103.0,2005,51.019112,6.6,PG
524,Hot Fuzz,Comedy,121.0,2007,23.618786,8.0,R
525,Hulk,Action,138.0,2003,132.177234,5.7,PG-13
526,The Incredible Hulk,Adventure,112.0,2008,134.806913,7.1,PG-13
527,The Hunchback of Notre Dame,Adventure,86.0,1996,100.138851,6.5,G
528,The Hunted,Action,94.0,2003,34.234008,5.8,R
529,Starsky & Hutch,Comedy,101.0,2004,88.200225,6.2,PG-13
530,Hollywood Homicide,Action,116.0,2003,30.207785,5.2,PG-13
531,Ice Age: Dawn of the Dinosaurs,Adventure,93.0,2009,196.573705,7.1,PG
532,Ice Age,Adventure,81.0,2002,176.387405,7.4,PG
533,Identity,Thriller/Suspense,90.0,2003,52.131264,7.3,R
534,An Ideal Husband,Comedy,97.0,1999,18.542974,6.7,PG-13
535,Idlewild,Musical,121.0,2006,12.669914,5.8,R
536,Igor,Comedy,86.0,2008,19.528188,6.0,PG
537,I Still Know What You Did Last Summer,Horror,101.0,1998,40.020622,4.1,R
538,I Know What You Did Last Summer,Horror,101.0,1997,72.250091,5.4,R
539,The Illusionist,Drama,110.0,2006,39.868642,7.7,PG-13
540,The Imaginarium of Doctor Parnassus,Adventure,122.0,2009,7.689458,7.1,PG-13
541,Imagine That,Comedy,107.0,2009,16.123323,5.4,PG
542,Inception,Thriller/Suspense,147.0,2010,285.63028,9.1,PG-13
543,Infamous,Drama,118.0,2006,1.15133,7.1,R
544,The Informant,Thriller/Suspense,108.0,2009,33.316821,6.2,R
545,Inkheart,Adventure,105.0,2009,17.303424,6.1,PG
546,In & Out,Comedy,92.0,1997,63.826569,6.1,PG-13
547,I Now Pronounce You Chuck and Larry,Comedy,115.0,2007,119.72528,6.1,PG-13
548,The Insider,Drama,157.0,1999,28.965197,8.0,R
549,Insomnia,Thriller/Suspense,118.0,2002,67.263182,6.3,R
550,Inspector Gadget,Comedy,77.0,1999,97.387965,3.9,PG
551,Instinct,Drama,123.0,1999,34.105207,6.2,R
552,The Invasion,Thriller/Suspense,99.0,2007,15.074191,6.0,PG-13
553,Iron Man,Action,126.0,2008,318.604126,7.9,PG-13
554,The Iron Giant,Adventure,86.0,1999,23.159305,7.9,PG
555,I Spy,Action,97.0,2002,33.561137,5.3,PG-13
556,The Italian Job,Adventure,111.0,2003,106.126012,6.9,PG-13
557,I Think I Love My Wife,Romantic Comedy,94.0,2007,12.559771,5.5,R
558,Jack Frost,Comedy,95.0,1998,34.645374,4.6,PG
559,Jackie Brown,Drama,154.0,1997,39.673162,7.6,R
560,The Jackal,Thriller/Suspense,124.0,1997,54.956941,6.0,R
561,Jarhead,Drama,115.0,2005,62.64754,7.2,R
562,The World is Not Enough,Action,125.0,1999,126.93066,6.3,PG-13
563,Die Another Day,Action,133.0,2002,160.942139,6.0,PG-13
564,Casino Royale,Action,144.0,2006,167.365,8.0,PG-13
565,Jackass: The Movie,Comedy,92.0,2002,64.282312,6.3,R
566,Journey to the Center of the Earth,Adventure,92.0,2008,101.70437,5.9,PG
567,Joe Dirt,Comedy,91.0,2001,27.087695,5.4,PG-13
568,Jeepers Creepers,Horror,91.0,2001,37.904175,5.7,R
569,Johnny English,Comedy,87.0,2003,28.013509,5.8,PG
570,Jeepers Creepers II,Horror,104.0,2003,35.623801,5.3,R
571,The Assassination of Jesse James by the Coward Robert Ford,Western,160.0,2007,3.909149,7.7,R
572,Johnson Family Vacation,Comedy,97.0,2004,31.203964,3.8,PG-13
573,Jersey Girl,Comedy,102.0,2004,25.266129,6.2,PG-13
574,The Jungle Book 2,Adventure,72.0,2003,47.901582,5.2,G
575,Joe Somebody,Comedy,98.0,2001,22.770864,5.3,PG
576,Jonah Hex,Action,81.0,2010,10.547117,4.3,PG-13
577,John Q,Drama,116.0,2002,71.026631,6.6,PG-13
578,Jonah: A VeggieTales Movie,Adventure,82.0,2002,25.571351,6.3,G
579,Joy Ride,Thriller/Suspense,97.0,2001,21.973182,5.4,R
580,Jerry Maguire,Romantic Comedy,138.0,1996,153.952592,7.2,R
581,Jay and Silent Bob Strike Back,Comedy,104.0,2001,30.059386,6.8,R
582,Juno,Comedy,95.0,2007,143.495265,7.9,PG-13
583,Jurassic Park 3,Action,92.0,2001,181.166115,7.9,PG-13
584,Just Married,Romantic Comedy,95.0,2003,56.127162,5.1,PG-13
585,Freddy vs. Jason,Horror,97.0,2003,82.622655,5.8,R
586,K-19: The Widowmaker,Action,138.0,2002,35.168966,6.5,PG-13
587,Kate and Leopold,Romantic Comedy,118.0,2001,47.095453,6.2,PG-13
588,Kangaroo Jack,Comedy,89.0,2003,66.723216,4.1,PG
589,The Original Kings of Comedy,Concert/Performance,116.0,2000,38.168022,6.2,R
590,Kiss of the Dragon,Action,98.0,2001,36.833473,6.3,R
591,The Karate Kid,Adventure,140.0,2010,176.591618,6.1,PG
592,Kicking and Screaming,Comedy,90.0,2005,52.842724,6.9,PG
593,Kill Bill: Volume 2,Action,136.0,2004,66.20792,8.0,R
594,Kill Bill: Volume 1,Action,111.0,2003,70.098138,8.2,R
595,Kiss the Girls,Thriller/Suspense,120.0,1997,60.527873,6.4,R
596,King Kong,Adventure,187.0,2005,218.080025,7.6,PG-13
597,Knocked Up,Romantic Comedy,132.0,2007,148.761765,7.5,R
598,Knight and Day,Action,109.0,2010,76.373029,6.6,PG-13
599,The Kingdom,Action,110.0,2007,47.46725,7.1,R
600,Black Knight,Comedy,96.0,2001,33.422806,4.3,PG-13
601,Knowing,Thriller/Suspense,121.0,2009,79.957634,6.4,PG-13
602,K-PAX,Drama,121.0,2001,50.31514,7.3,PG-13
603,Christmas with the Kranks,Comedy,98.0,2004,73.701902,4.7,PG
604,A Knight's Tale,Adventure,132.0,2001,56.083966,6.6,PG-13
605,The Kite Runner,Drama,122.0,2007,15.800078,7.8,PG-13
606,L.A. Confidential,Drama,137.0,1997,64.604977,8.4,R
607,Law Abiding Citizen,Thriller/Suspense,108.0,2009,73.357727,7.2,R
608,Ladder 49,Action,105.0,2004,74.541707,6.5,PG-13
609,The Ladykillers,Comedy,104.0,2004,39.692139,6.2,R
610,Lakeview Terrace,Thriller/Suspense,106.0,2008,39.263506,6.3,PG-13
611,Land of the Lost,Comedy,101.0,2009,49.43837,5.3,PG-13
612,Changing Lanes,Thriller/Suspense,99.0,2002,66.790248,6.5,R
613,Lars and the Real Girl,Comedy,106.0,2007,5.95648,7.5,PG-13
614,Little Children,Drama,136.0,2006,5.463019,7.8,R
615,Save the Last Dance,Drama,113.0,2001,91.038276,5.9,PG-13
616,I am Legend,Horror,100.0,2007,256.39301,7.1,PG-13
617,Letters from Iwo Jima,Drama,141.0,2006,13.756082,8.1,R
618,The Hurricane,Drama,125.0,1999,50.699241,7.4,R
619,Liar Liar,Comedy,87.0,1997,181.410615,6.7,PG-13
620,The Life Aquatic with Steve Zissou,Comedy,118.0,2004,24.006726,7.2,R
621,Life,Comedy,108.0,1999,64.062587,5.3,R
622,Like Mike,Comedy,99.0,2002,51.432423,4.4,PG
623,Lilo & Stitch,Adventure,85.0,2002,145.771527,7.1,PG
624,The Lizzie McGuire Movie,Comedy,94.0,2003,42.734455,4.7,PG
625,The Last King of Scotland,Drama,121.0,2006,17.606684,7.8,R
626,Little Miss Sunshine,Comedy,101.0,2006,59.891098,8.0,R
627,In the Land of Women,Comedy,98.0,2007,11.052958,6.7,PG-13
628,Lions for Lambs,Drama,90.0,2007,14.99807,6.2,R
629,How to Lose a Guy in 10 Days,Romantic Comedy,116.0,2003,105.80752,6.1,PG-13
630,Lost In Space,Adventure,131.0,1998,69.117629,4.8,PG-13
631,Love and Basketball,Drama,125.0,2000,27.441122,6.7,PG-13
632,The Lord of the Rings: The Two Towers,Adventure,179.0,2002,341.784377,8.7,PG-13
633,The Lord of the Rings: The Return of the King,Adventure,201.0,2003,377.027325,8.8,PG-13
634,The Lord of the Rings: The Fellowship of the Ring,Adventure,178.0,2001,314.77617,8.8,PG-13
635,Lonesome Jim,Comedy,91.0,2006,0.154187,6.7,R
636,The Last Legion,Action,101.0,2007,5.93206,5.4,PG-13
637,The Last Samurai,Action,154.0,2003,111.110575,7.8,R
638,The Last Song,Drama,108.0,2010,62.950384,3.9,PG
639,Lost in Translation,Drama,102.0,2003,44.585453,7.9,R
640,The Lost World: Jurassic Park,Action,134.0,1997,229.086679,6.0,PG-13
641,License to Wed,Romantic Comedy,90.0,2007,43.799818,5.1,PG
642,Lethal Weapon 4,Action,127.0,1998,130.444603,6.4,R
643,The Lucky Ones,Drama,104.0,2008,0.266967,7.1,R
644,Lucky You,Drama,122.0,2007,5.755286,5.9,PG-13
645,Se jie,Drama,156.0,2007,4.604982,7.6,NC-17
646,Love Actually,Romantic Comedy,135.0,2003,59.472278,7.9,R
647,Herbie: Fully Loaded,Comedy,95.0,2005,66.010682,4.7,G
648,For Love of the Game,Drama,137.0,1999,35.18864,6.2,PG-13
649,Love Ranch,Drama,117.0,2010,0.134904,5.6,R
650,The Longest Yard,Comedy,113.0,2005,158.11946,6.2,PG-13
651,Madagascar,Adventure,83.0,2005,193.595521,6.6,PG
652,Jane Austen's Mafia,Comedy,83.0,1998,19.843795,5.0,PG-13
653,Paul Blart: Mall Cop,Comedy,91.0,2009,146.336178,5.3,PG
654,A Man Apart,Action,110.0,2003,26.5,5.7,R
655,Man on Fire,Thriller/Suspense,146.0,2004,77.906816,7.7,R
656,Man on the Moon,Drama,118.0,1999,34.580635,7.4,R
657,The Marine,Action,91.0,2006,18.844784,4.5,PG-13
658,The Matador,Thriller/Suspense,74.0,2005,12.578537,6.9,R
659,The Matrix,Action,136.0,1999,171.47993,8.7,R
660,My Big Fat Greek Wedding,Romantic Comedy,95.0,2002,241.438208,6.6,PG
661,My Best Friend's Girl,Comedy,103.0,2008,19.21925,5.8,R
662,My Bloody Valentine,Horror,101.0,2009,51.545952,5.7,R
663,Wu ji,Action,97.0,2006,0.669625,5.6,PG-13
664,The Manchurian Candidate,Thriller/Suspense,129.0,2004,65.948711,6.7,R
665,Mickey Blue Eyes,Comedy,103.0,1999,33.864342,5.7,PG-13
666,Master and Commander: The Far Side of the World,Adventure,138.0,2003,93.926386,7.5,PG-13
667,Nanny McPhee,Comedy,91.0,2006,47.279279,6.7,PG
668,Million Dollar Baby,Drama,132.0,2004,100.492203,8.2,PG-13
669,Mean Girls,Comedy,97.0,2004,86.047227,7.0,PG-13
670,"Me, Myself & Irene",Romantic Comedy,116.0,2000,90.570999,6.9,R
671,Memoirs of a Geisha,Drama,145.0,2005,57.010853,7.1,PG-13
672,Men in Black,Adventure,98.0,1997,250.690539,7.0,PG-13
673,Men of Honor,Drama,128.0,2000,48.814909,6.8,R
674,Memento,Drama,113.0,2001,25.544867,8.7,R
675,Mercury Rising,Thriller/Suspense,112.0,1998,32.983332,5.8,R
676,Message in a Bottle,Drama,132.0,1999,52.880016,5.6,PG-13
677,Meet Joe Black,Drama,154.0,1998,44.650003,6.9,PG-13
678,Magnolia,Drama,188.0,1999,22.450975,8.0,R
679,The Men Who Stare at Goats,Black Comedy,93.0,2009,32.428195,6.4,R
680,Men in Black 2,Action,88.0,2002,190.418803,7.4,PG-13
681,Miss Congeniality 2: Armed and Fabulous,Comedy,115.0,2005,48.478006,4.7,PG-13
682,Mission: Impossible 2,Action,124.0,2000,215.409889,6.9,PG-13
683,Miss Congeniality,Comedy,110.0,2000,106.807667,6.1,PG-13
684,The Missing,Western,137.0,2003,26.900336,7.4,R
685,Mighty Joe Young,Adventure,114.0,1998,50.632037,5.4,PG
686,The Majestic,Drama,153.0,2001,27.796042,6.8,PG
687,Malibu's Most Wanted,Comedy,86.0,2003,34.308901,4.8,PG-13
688,Mission to Mars,Adventure,116.0,2000,60.874615,5.1,PG
689,Captain Corelli's Mandolin,Drama,129.0,2001,25.528495,5.7,R
690,Midnight in the Garden of Good and Evil,Drama,155.0,1997,25.078937,6.5,R
691,The Man in the Iron Mask,Adventure,132.0,1998,56.968169,7.2,PG-13
692,Monster-in-Law,Comedy,95.0,2005,82.931301,5.1,PG-13
693,Mona Lisa Smile,Drama,117.0,2003,63.8031,6.1,PG-13
694,Monster's Ball,Drama,111.0,2001,31.273922,7.2,R
695,MoliËre,Comedy,120.0,2007,0.635733,7.2,PG-13
696,Monster,Drama,109.0,2003,34.46921,7.4,R
697,"Monsters, Inc.",Adventure,95.0,2001,255.870172,7.4,G
698,Money Talks,Action,95.0,1997,41.076865,5.7,R
699,Moon,Thriller/Suspense,97.0,2009,5.010163,8.0,R
700,The Mothman Prophecies,Thriller/Suspense,119.0,2002,35.228696,6.5,PG-13
701,Moulin Rouge,Musical,123.0,2001,57.386369,7.3,PG-13
702,Me and Orson Welles,Drama,107.0,2009,1.190003,7.1,PG-13
703,Meet the Fockers,Comedy,115.0,2004,279.167575,6.4,PG-13
704,Meet the Parents,Comedy,108.0,2000,166.22504,7.0,PG-13
705,The Miracle,Drama,92.0,2004,64.378093,6.1,PG
706,Minority Report,Action,145.0,2002,132.024714,7.7,PG-13
707,Mortal Kombat: Annihilation,Action,91.0,1997,35.927406,3.2,PG-13
708,Mouse Hunt,Comedy,95.0,1997,61.894591,6.1,PG
709,Miss Potter,Drama,92.0,2006,3.005605,7.1,PG
710,A Mighty Heart,Drama,100.0,2007,9.176787,6.7,R
711,The Matrix Reloaded,Action,138.0,2003,281.553689,7.1,R
712,The Matrix Revolutions,Action,129.0,2003,139.259759,6.5,R
713,Mulan,Adventure,88.0,1998,120.620254,7.2,G
714,The Mummy,Adventure,124.0,1999,155.385488,6.8,PG-13
715,The Mummy Returns,Adventure,129.0,2001,202.00764,6.2,PG-13
716,The Mummy: Tomb of the Dragon Emperor,Adventure,111.0,2008,102.491776,5.1,PG-13
717,Muppets From Space,Comedy,88.0,1999,16.304786,6.1,G
718,Murder by Numbers,Thriller/Suspense,120.0,2002,31.874869,5.9,R
719,Night at the Museum,Comedy,108.0,2006,250.863268,6.4,PG
720,The Musketeer,Adventure,104.0,2001,27.053815,4.4,PG-13
721,Music and Lyrics,Romantic Comedy,96.0,2007,50.572589,6.6,PG-13
722,Miami Vice,Action,132.0,2006,63.478838,6.0,R
723,Monsters vs. Aliens,Adventure,95.0,2009,198.351526,6.8,PG
724,The Mexican,Action,124.0,2001,66.808615,5.9,R
725,My Best Friend's Wedding,Comedy,105.0,1997,126.813153,6.2,PG-13
726,My Dog Skip,Drama,95.0,2000,34.09964,6.9,PG
727,My Favorite Martian,Comedy,93.0,1999,36.850101,4.5,PG
728,My Fellow Americans,Comedy,102.0,1996,22.331846,6.3,PG-13
729,My Sister's Keeper,Drama,108.0,2009,49.20023,7.4,PG-13
730,Mystic River,Drama,137.0,2003,90.135191,8.0,R
731,National Treasure,Adventure,131.0,2004,173.005002,6.9,PG
732,The Nativity Story,Drama,102.0,2006,37.629831,6.6,PG
733,Into the Blue,Adventure,109.0,2005,18.782227,5.7,PG-13
734,The Incredibles,Adventure,121.0,2004,261.441092,8.1,PG
735,The Negotiator,Action,138.0,1998,44.705766,7.2,R
736,The New Guy,Comedy,88.0,2002,28.972187,5.4,PG-13
737,In Good Company,Comedy,109.0,2004,45.489752,6.8,PG-13
738,Notting Hill,Romantic Comedy,123.0,1999,116.089678,6.9,PG-13
739,Little Nicky,Comedy,90.0,2000,39.442871,5.0,PG-13
740,The Ninth Gate,Thriller/Suspense,133.0,2000,18.653746,6.6,R
741,Night at the Museum: Battle of the Smithsonian,Comedy,104.0,2009,177.243721,5.9,PG
742,Nick and Norah's Infinite Playlist,Drama,90.0,2008,31.487293,6.8,PG-13
743,No Reservations,Romantic Comedy,103.0,2007,43.107979,6.3,PG
744,The Notebook,Drama,123.0,2004,81.001787,8.0,PG-13
745,Napoleon Dynamite,Comedy,82.0,2004,44.540956,6.9,PG
746,The Namesake,Drama,122.0,2007,13.610521,7.5,PG-13
747,Intolerable Cruelty,Romantic Comedy,100.0,2003,35.327628,6.4,PG-13
748,The Interpreter,Thriller/Suspense,118.0,2005,72.708161,6.5,PG-13
749,The Number 23,Thriller/Suspense,95.0,2007,35.193167,6.2,R
750,Nurse Betty,Black Comedy,110.0,2000,25.170054,6.4,R
751,Jimmy Neutron: Boy Genius,Adventure,83.0,2001,80.936232,5.9,G
752,Nutty Professor II: The Klumps,Comedy,107.0,2000,123.307945,4.3,PG-13
753,Finding Neverland,Drama,106.0,2004,51.676606,7.9,PG
754,Into the Wild,Drama,147.0,2007,18.354356,8.2,R
755,The Object of my Affection,Romantic Comedy,112.0,1998,29.145924,5.9,R
756,Orange County,Comedy,82.0,2002,41.059716,6.1,PG-13
